|| '''Organization''' || '''Platform''' || '''Python Version''' || '''Services Offered (Related to Python)''' || '''Notes''' || '''Last Update''' ||
|| [http://www.schokokeks.org schokokeks.org Webhosting] || Linux || 2.4.3 || Webhosting for special needs. Always current versions, personal contacts to administrators. Willing to install new packages on demand. || Full-featured SSH-access to server || 2006-10-09 ||
|| [http://www.bright-byte.com Bright-Byte.com] || Linux || 2.2.2 || Web hosting for those who need personal interaction with their hosting provider.  Free script installation.  || Reseller Hosting Available || 2006-05-16 ||
|| [http://www.hostmonster.com HostMonster] || Linux || 2.3.5 || Apache, Python2.3.5, SSH access, full cPanel web-based admin, 64-bit SMP servers. Similar pricing and most of the features and generous specs of DreamHost, except that Hostmonster's servers are uptime-protected by redundancy and UPSs. This gets around a lot of the outage problems that many folk have suffered with DreamHost (as noted on the numerous 'dreamhost sucks' sites out there)||
|| [http://www.dreamhost.com/r.cgi?mattfast1 DreamHost] || Linux (Debian) || 2.1.3, 2.2.1,  2.3.5 || FastCGI [http://wiki.dreamhost.com/index.php/Django 1], CGI, shell access, MySQL, mailman  || 20 GB HDD, 1 TB Bandwidth, unlimited domains for $7.95/mo || 2006-01-16 ||
|| [http://www.xelhosting.com/ Xelhosting] || Linux  || 2.4.x || standalone, Modpython, Twisted, Django, Turbogears, Cherrypy, Stackless ... [http://myxen.net/ community_wiki] root shell access  || from 4 GB HDD, 128M mem, 50GB Bandwidth $15.99/mo || 2006-02-07 ||
||[http://www.kinghost.com.br/ Hospedagem de Sites] || CentOS/Gentoo  || 2.4.x || mod_python, postgreSQL, mySQL, Firebird, perl, PHP, shell access || Brazilian Prices. From USD 3.70 || 2006-06 ||
|| [http://www.chex.co.uk/ Chex] || Linux || 2.4.x || php, Python, Mailman, MySQL, PGSQL, CGI, SSH || Reliable and quality business webhosting service based in Central London || 2006-1-2 ||
|| [http://www.lightninghosts.net/ Lightning Hosts] ||&#160;||&#160;||&#160;||&#160;|| 2005-06 ||
|| [http://www.tehospedo.com.br/ TeHospedo.com.br]|| RedHat Linux  || 2.3.x || Mailman, mod_python, Python, postGreSQL, shell accounts, perl, php, ftp, mysql|| Brazilian web hosting || 2005-05 ||
|| [http://www.gradwell.com/ gradwell.com]|| FreeBSD  || 2.3.x || mailman, shell accounts, perl, php, ftp, mysql|| Flexible developer friendly Hosting with a high level of support || 2004-11 ||
|| [http://www.xennos.com/ Xennos] || Linux/cPanel || 2.2 || CGI, Python, MySQL, mailman || Very cheap hosting plans, from $1 per month. || 2004-09 ||
|| [http://www.europeanservers.net EuropeanServers - France] || Linux  || 2.2 || CGI, MySQL, PostgreSql, Python, SSH || Linux webhosting in France || 2003-10-12 ||
